id_dep,libDep,id_circo,id_com,libCom,codeBV,id_bv,libBv,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
78,Yvelines,7800001,78297,Guyancourt,0001,78297_0001,Guyancourt - 0001,1223,854,"69,83%",369,"30,17%",835,"68,27%","97,78%",15,"1,23%","1,76%",4,"0,33%","0,47%",Numéro de panneau 1,1
78,Yvelines,7800001,78297,Guyancourt,0002,78297_0002,Guyancourt - 0002,1055,653,"61,90%",402,"38,10%",631,"59,81%","96,63%",14,"1,33%","2,14%",8,"0,76%","1,23%",Numéro de panneau 1,1
78,Yvelines,7800001,78297,Guyancourt,0003,78297_0003,Guyancourt - 0003,1100,756,"68,73%",344,"31,27%",743,"67,55%","98,28%",9,"0,82%","1,19%",4,"0,36%","0,53%",Numéro de panneau 1,1
78,Yvelines,7800001,78297,Guyancourt,0004,78297_0004,Guyancourt - 0004,1248,792,"63,46%",456,"36,54%",778,"62,34%","98,23%",11,"0,88%","1,39%",3,"0,24%","0,38%",Numéro de panneau 1,1
78,Yvelines,7800001,78297,Guyancourt,0005,78297_0005,Guyancourt - 0005,1090,740,"67,89%",350,"32,11%",725,"66,51%","97,97%",10,"0,92%","1,35%",5,"0,46%","0,68%",Numéro de panneau 1,1
78,Yvelines,7800001,78297,Guyancourt,0006,78297_0006,Guyancourt - 0006,1204,834,"69,27%",370,"30,73%",811,"67,36%","97,24%",20,"1,66%","2,40%",3,"0,25%","0,36%",Numéro de panneau 1,1
78,Yvelines,7800001,78297,Guyancourt,0007,78297_0007,Guyancourt - 0007,1239,829,"66,91%",410,"33,09%",816,"65,86%","98,43%",11,"0,89%","1,33%",2,"0,16%","0,24%",Numéro de panneau 1,1
78,Yvelines,7800001,78297,Guyancourt,0008,78297_0008,Guyancourt - 0008,1100,714,"64,91%",386,"35,09%",692,"62,91%","96,92%",14,"1,27%","1,96%",8,"0,73%","1,12%",Numéro de panneau 1,1
78,Yvelines,7800001,78297,Guyancourt,0009,78297_0009,Guyancourt - 0009,1114,822,"73,79%",292,"26,21%",810,"72,71%","98,54%",11,"0,99%","1,34%",1,"0,09%","0,12%",Numéro de panneau 1,1
78,Yvelines,7800001,78297,Guyancourt,0010,78297_0010,Guyancourt - 0010,1309,881,"67,30%",428,"32,70%",863,"65,93%","97,96%",12,"0,92%","1,36%",6,"0,46%","0,68%",Numéro de panneau 1,1
78,Yvelines,7800001,78297,Guyancourt,0011,78297_0011,Guyancourt - 0011,1310,874,"66,72%",436,"33,28%",859,"65,57%","98,28%",10,"0,76%","1,14%",5,"0,38%","0,57%",Numéro de panneau 1,1
78,Yvelines,7800001,78297,Guyancourt,0012,78297_0012,Guyancourt - 0012,1387,962,"69,36%",425,"30,64%",949,"68,42%","98,65%",12,"0,87%","1,25%",1,"0,07%","0,10%",Numéro de panneau 1,1
78,Yvelines,7800001,78297,Guyancourt,0013,78297_0013,Guyancourt - 0013,1117,751,"67,23%",366,"32,77%",733,"65,62%","97,60%",14,"1,25%","1,86%",4,"0,36%","0,53%",Numéro de panneau 1,1
78,Yvelines,7800001,78297,Guyancourt,0014,78297_0014,Guyancourt - 0014,1235,830,"67,21%",405,"32,79%",811,"65,67%","97,71%",16,"1,30%","1,93%",3,"0,24%","0,36%",Numéro de panneau 1,1
78,Yvelines,7800001,78297,Guyancourt,0015,78297_0015,Guyancourt - 0015,1137,801,"70,45%",336,"29,55%",772,"67,90%","96,38%",22,"1,93%","2,75%",7,"0,62%","0,87%",Numéro de panneau 1,1
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0001,78423_0001,Montigny-le-Bretonneux - 0001,1376,974,"70,78%",402,"29,22%",952,"69,19%","97,74%",17,"1,24%","1,75%",5,"0,36%","0,51%",Numéro de panneau 1,1
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0002,78423_0002,Montigny-le-Bretonneux - 0002,1153,882,"76,50%",271,"23,50%",863,"74,85%","97,85%",14,"1,21%","1,59%",5,"0,43%","0,57%",Numéro de panneau 1,1
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0003,78423_0003,Montigny-le-Bretonneux - 0003,1142,876,"76,71%",266,"23,29%",860,"75,31%","98,17%",13,"1,14%","1,48%",3,"0,26%","0,34%",Numéro de panneau 1,1
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0004,78423_0004,Montigny-le-Bretonneux - 0004,1235,817,"66,15%",418,"33,85%",798,"64,62%","97,67%",13,"1,05%","1,59%",6,"0,49%","0,73%",Numéro de panneau 1,1
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0005,78423_0005,Montigny-le-Bretonneux - 0005,1265,816,"64,51%",449,"35,49%",793,"62,69%","97,18%",19,"1,50%","2,33%",4,"0,32%","0,49%",Numéro de panneau 1,1
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0006,78423_0006,Montigny-le-Bretonneux - 0006,1623,1118,"68,88%",505,"31,12%",1096,"67,53%","98,03%",17,"1,05%","1,52%",5,"0,31%","0,45%",Numéro de panneau 1,1
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0007,78423_0007,Montigny-le-Bretonneux - 0007,1352,952,"70,41%",400,"29,59%",936,"69,23%","98,32%",13,"0,96%","1,37%",3,"0,22%","0,32%",Numéro de panneau 1,1
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0008,78423_0008,Montigny-le-Bretonneux - 0008,1339,1041,"77,74%",298,"22,26%",1021,"76,25%","98,08%",14,"1,05%","1,34%",6,"0,45%","0,58%",Numéro de panneau 1,1
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0009,78423_0009,Montigny-le-Bretonneux - 0009,1426,1019,"71,46%",407,"28,54%",1000,"70,13%","98,14%",15,"1,05%","1,47%",4,"0,28%","0,39%",Numéro de panneau 1,1
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0010,78423_0010,Montigny-le-Bretonneux - 0010,1111,848,"76,33%",263,"23,67%",835,"75,16%","98,47%",9,"0,81%","1,06%",4,"0,36%","0,47%",Numéro de panneau 1,1
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0011,78423_0011,Montigny-le-Bretonneux - 0011,1168,894,"76,54%",274,"23,46%",876,"75,00%","97,99%",15,"1,28%","1,68%",3,"0,26%","0,34%",Numéro de panneau 1,1
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0012,78423_0012,Montigny-le-Bretonneux - 0012,1395,921,"66,02%",474,"33,98%",906,"64,95%","98,37%",10,"0,72%","1,09%",5,"0,36%","0,54%",Numéro de panneau 1,1
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0013,78423_0013,Montigny-le-Bretonneux - 0013,1308,873,"66,74%",435,"33,26%",855,"65,37%","97,94%",14,"1,07%","1,60%",4,"0,31%","0,46%",Numéro de panneau 1,1
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0014,78423_0014,Montigny-le-Bretonneux - 0014,1223,952,"77,84%",271,"22,16%",939,"76,78%","98,63%",11,"0,90%","1,16%",2,"0,16%","0,21%",Numéro de panneau 1,1
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0015,78423_0015,Montigny-le-Bretonneux - 0015,1381,1064,"77,05%",317,"22,95%",1047,"75,81%","98,40%",11,"0,80%","1,03%",6,"0,43%","0,56%",Numéro de panneau 1,1
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0016,78423_0016,Montigny-le-Bretonneux - 0016,1302,986,"75,73%",316,"24,27%",964,"74,04%","97,77%",19,"1,46%","1,93%",3,"0,23%","0,30%",Numéro de panneau 1,1
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0017,78423_0017,Montigny-le-Bretonneux - 0017,1091,850,"77,91%",241,"22,09%",826,"75,71%","97,18%",20,"1,83%","2,35%",4,"0,37%","0,47%",Numéro de panneau 1,1
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0018,78423_0018,Montigny-le-Bretonneux - 0018,1309,972,"74,26%",337,"25,74%",959,"73,26%","98,66%",11,"0,84%","1,13%",2,"0,15%","0,21%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0013,78646_0013,Versailles - 0013,1242,956,"76,97%",286,"23,03%",938,"75,52%","98,12%",15,"1,21%","1,57%",3,"0,24%","0,31%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0014,78646_0014,Versailles - 0014,1122,843,"75,13%",279,"24,87%",838,"74,69%","99,41%",3,"0,27%","0,36%",2,"0,18%","0,24%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0015,78646_0015,Versailles - 0015,1320,989,"74,92%",331,"25,08%",977,"74,02%","98,79%",11,"0,83%","1,11%",1,"0,08%","0,10%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0016,78646_0016,Versailles - 0016,1441,1065,"73,91%",376,"26,09%",1059,"73,49%","99,44%",4,"0,28%","0,38%",2,"0,14%","0,19%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0017,78646_0017,Versailles - 0017,1784,1351,"75,73%",433,"24,27%",1334,"74,78%","98,74%",16,"0,90%","1,18%",1,"0,06%","0,07%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0018,78646_0018,Versailles - 0018,1404,1031,"73,43%",373,"26,57%",1017,"72,44%","98,64%",12,"0,85%","1,16%",2,"0,14%","0,19%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0019,78646_0019,Versailles - 0019,1458,1135,"77,85%",323,"22,15%",1125,"77,16%","99,12%",7,"0,48%","0,62%",3,"0,21%","0,26%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0020,78646_0020,Versailles - 0020,1632,1257,"77,02%",375,"22,98%",1245,"76,29%","99,05%",8,"0,49%","0,64%",4,"0,25%","0,32%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0021,78646_0021,Versailles - 0021,1610,1244,"77,27%",366,"22,73%",1232,"76,52%","99,04%",8,"0,50%","0,64%",4,"0,25%","0,32%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0022,78646_0022,Versailles - 0022,1548,1117,"72,16%",431,"27,84%",1108,"71,58%","99,19%",6,"0,39%","0,54%",3,"0,19%","0,27%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0023,78646_0023,Versailles - 0023,1429,1170,"81,88%",259,"18,12%",1156,"80,90%","98,80%",12,"0,84%","1,03%",2,"0,14%","0,17%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0024,78646_0024,Versailles - 0024,1471,1156,"78,59%",315,"21,41%",1150,"78,18%","99,48%",4,"0,27%","0,35%",2,"0,14%","0,17%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0025,78646_0025,Versailles - 0025,1627,1271,"78,12%",356,"21,88%",1260,"77,44%","99,13%",8,"0,49%","0,63%",3,"0,18%","0,24%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0026,78646_0026,Versailles - 0026,1386,1135,"81,89%",251,"18,11%",1126,"81,24%","99,21%",9,"0,65%","0,79%",0,"0,00%","0,00%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0027,78646_0027,Versailles - 0027,1511,1172,"77,56%",339,"22,44%",1161,"76,84%","99,06%",8,"0,53%","0,68%",3,"0,20%","0,26%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0028,78646_0028,Versailles - 0028,1598,1227,"76,78%",371,"23,22%",1218,"76,22%","99,27%",8,"0,50%","0,65%",1,"0,06%","0,08%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0029,78646_0029,Versailles - 0029,1402,921,"65,69%",481,"34,31%",890,"63,48%","96,63%",24,"1,71%","2,61%",7,"0,50%","0,76%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0030,78646_0030,Versailles - 0030,1439,1162,"80,75%",277,"19,25%",1152,"80,06%","99,14%",5,"0,35%","0,43%",5,"0,35%","0,43%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0031,78646_0031,Versailles - 0031,1580,849,"53,73%",731,"46,27%",827,"52,34%","97,41%",13,"0,82%","1,53%",9,"0,57%","1,06%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0032,78646_0032,Versailles - 0032,1544,1144,"74,09%",400,"25,91%",1132,"73,32%","98,95%",9,"0,58%","0,79%",3,"0,19%","0,26%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0033,78646_0033,Versailles - 0033,1245,783,"62,89%",462,"37,11%",770,"61,85%","98,34%",8,"0,64%","1,02%",5,"0,40%","0,64%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0034,78646_0034,Versailles - 0034,1495,1122,"75,05%",373,"24,95%",1110,"74,25%","98,93%",8,"0,54%","0,71%",4,"0,27%","0,36%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0035,78646_0035,Versailles - 0035,1634,1239,"75,83%",395,"24,17%",1221,"74,72%","98,55%",13,"0,80%","1,05%",5,"0,31%","0,40%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0036,78646_0036,Versailles - 0036,1565,1218,"77,83%",347,"22,17%",1203,"76,87%","98,77%",12,"0,77%","0,99%",3,"0,19%","0,25%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0037,78646_0037,Versailles - 0037,1318,1056,"80,12%",262,"19,88%",1037,"78,68%","98,20%",17,"1,29%","1,61%",2,"0,15%","0,19%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0038,78646_0038,Versailles - 0038,1411,1096,"77,68%",315,"22,32%",1084,"76,82%","98,91%",10,"0,71%","0,91%",2,"0,14%","0,18%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0039,78646_0039,Versailles - 0039,1449,1137,"78,47%",312,"21,53%",1123,"77,50%","98,77%",10,"0,69%","0,88%",4,"0,28%","0,35%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0040,78646_0040,Versailles - 0040,1402,962,"68,62%",440,"31,38%",947,"67,55%","98,44%",7,"0,50%","0,73%",8,"0,57%","0,83%",Numéro de panneau 1,1
78,Yvelines,7800001,78646,Versailles,0041,78646_0041,Versailles - 0041,1336,1068,"79,94%",268,"20,06%",1060,"79,34%","99,25%",8,"0,60%","0,75%",0,"0,00%","0,00%",Numéro de panneau 1,1
78,Yvelines,7800001,78297,Guyancourt,0001,78297_0001,Guyancourt - 0001,1223,854,"69,83%",369,"30,17%",835,"68,27%","97,78%",15,"1,23%","1,76%",4,"0,33%","0,47%",Nuance candidat 1,ENS
78,Yvelines,7800001,78297,Guyancourt,0002,78297_0002,Guyancourt - 0002,1055,653,"61,90%",402,"38,10%",631,"59,81%","96,63%",14,"1,33%","2,14%",8,"0,76%","1,23%",Nuance candidat 1,ENS
78,Yvelines,7800001,78297,Guyancourt,0003,78297_0003,Guyancourt - 0003,1100,756,"68,73%",344,"31,27%",743,"67,55%","98,28%",9,"0,82%","1,19%",4,"0,36%","0,53%",Nuance candidat 1,ENS
78,Yvelines,7800001,78297,Guyancourt,0004,78297_0004,Guyancourt - 0004,1248,792,"63,46%",456,"36,54%",778,"62,34%","98,23%",11,"0,88%","1,39%",3,"0,24%","0,38%",Nuance candidat 1,ENS
78,Yvelines,7800001,78297,Guyancourt,0005,78297_0005,Guyancourt - 0005,1090,740,"67,89%",350,"32,11%",725,"66,51%","97,97%",10,"0,92%","1,35%",5,"0,46%","0,68%",Nuance candidat 1,ENS
78,Yvelines,7800001,78297,Guyancourt,0006,78297_0006,Guyancourt - 0006,1204,834,"69,27%",370,"30,73%",811,"67,36%","97,24%",20,"1,66%","2,40%",3,"0,25%","0,36%",Nuance candidat 1,ENS
78,Yvelines,7800001,78297,Guyancourt,0007,78297_0007,Guyancourt - 0007,1239,829,"66,91%",410,"33,09%",816,"65,86%","98,43%",11,"0,89%","1,33%",2,"0,16%","0,24%",Nuance candidat 1,ENS
78,Yvelines,7800001,78297,Guyancourt,0008,78297_0008,Guyancourt - 0008,1100,714,"64,91%",386,"35,09%",692,"62,91%","96,92%",14,"1,27%","1,96%",8,"0,73%","1,12%",Nuance candidat 1,ENS
78,Yvelines,7800001,78297,Guyancourt,0009,78297_0009,Guyancourt - 0009,1114,822,"73,79%",292,"26,21%",810,"72,71%","98,54%",11,"0,99%","1,34%",1,"0,09%","0,12%",Nuance candidat 1,ENS
78,Yvelines,7800001,78297,Guyancourt,0010,78297_0010,Guyancourt - 0010,1309,881,"67,30%",428,"32,70%",863,"65,93%","97,96%",12,"0,92%","1,36%",6,"0,46%","0,68%",Nuance candidat 1,ENS
78,Yvelines,7800001,78297,Guyancourt,0011,78297_0011,Guyancourt - 0011,1310,874,"66,72%",436,"33,28%",859,"65,57%","98,28%",10,"0,76%","1,14%",5,"0,38%","0,57%",Nuance candidat 1,ENS
78,Yvelines,7800001,78297,Guyancourt,0012,78297_0012,Guyancourt - 0012,1387,962,"69,36%",425,"30,64%",949,"68,42%","98,65%",12,"0,87%","1,25%",1,"0,07%","0,10%",Nuance candidat 1,ENS
78,Yvelines,7800001,78297,Guyancourt,0013,78297_0013,Guyancourt - 0013,1117,751,"67,23%",366,"32,77%",733,"65,62%","97,60%",14,"1,25%","1,86%",4,"0,36%","0,53%",Nuance candidat 1,ENS
78,Yvelines,7800001,78297,Guyancourt,0014,78297_0014,Guyancourt - 0014,1235,830,"67,21%",405,"32,79%",811,"65,67%","97,71%",16,"1,30%","1,93%",3,"0,24%","0,36%",Nuance candidat 1,ENS
78,Yvelines,7800001,78297,Guyancourt,0015,78297_0015,Guyancourt - 0015,1137,801,"70,45%",336,"29,55%",772,"67,90%","96,38%",22,"1,93%","2,75%",7,"0,62%","0,87%",Nuance candidat 1,ENS
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0001,78423_0001,Montigny-le-Bretonneux - 0001,1376,974,"70,78%",402,"29,22%",952,"69,19%","97,74%",17,"1,24%","1,75%",5,"0,36%","0,51%",Nuance candidat 1,ENS
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0002,78423_0002,Montigny-le-Bretonneux - 0002,1153,882,"76,50%",271,"23,50%",863,"74,85%","97,85%",14,"1,21%","1,59%",5,"0,43%","0,57%",Nuance candidat 1,ENS
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0003,78423_0003,Montigny-le-Bretonneux - 0003,1142,876,"76,71%",266,"23,29%",860,"75,31%","98,17%",13,"1,14%","1,48%",3,"0,26%","0,34%",Nuance candidat 1,ENS
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0004,78423_0004,Montigny-le-Bretonneux - 0004,1235,817,"66,15%",418,"33,85%",798,"64,62%","97,67%",13,"1,05%","1,59%",6,"0,49%","0,73%",Nuance candidat 1,ENS
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0005,78423_0005,Montigny-le-Bretonneux - 0005,1265,816,"64,51%",449,"35,49%",793,"62,69%","97,18%",19,"1,50%","2,33%",4,"0,32%","0,49%",Nuance candidat 1,ENS
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0006,78423_0006,Montigny-le-Bretonneux - 0006,1623,1118,"68,88%",505,"31,12%",1096,"67,53%","98,03%",17,"1,05%","1,52%",5,"0,31%","0,45%",Nuance candidat 1,ENS
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0007,78423_0007,Montigny-le-Bretonneux - 0007,1352,952,"70,41%",400,"29,59%",936,"69,23%","98,32%",13,"0,96%","1,37%",3,"0,22%","0,32%",Nuance candidat 1,ENS
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0008,78423_0008,Montigny-le-Bretonneux - 0008,1339,1041,"77,74%",298,"22,26%",1021,"76,25%","98,08%",14,"1,05%","1,34%",6,"0,45%","0,58%",Nuance candidat 1,ENS
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0009,78423_0009,Montigny-le-Bretonneux - 0009,1426,1019,"71,46%",407,"28,54%",1000,"70,13%","98,14%",15,"1,05%","1,47%",4,"0,28%","0,39%",Nuance candidat 1,ENS
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0010,78423_0010,Montigny-le-Bretonneux - 0010,1111,848,"76,33%",263,"23,67%",835,"75,16%","98,47%",9,"0,81%","1,06%",4,"0,36%","0,47%",Nuance candidat 1,ENS
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0011,78423_0011,Montigny-le-Bretonneux - 0011,1168,894,"76,54%",274,"23,46%",876,"75,00%","97,99%",15,"1,28%","1,68%",3,"0,26%","0,34%",Nuance candidat 1,ENS
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0012,78423_0012,Montigny-le-Bretonneux - 0012,1395,921,"66,02%",474,"33,98%",906,"64,95%","98,37%",10,"0,72%","1,09%",5,"0,36%","0,54%",Nuance candidat 1,ENS
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0013,78423_0013,Montigny-le-Bretonneux - 0013,1308,873,"66,74%",435,"33,26%",855,"65,37%","97,94%",14,"1,07%","1,60%",4,"0,31%","0,46%",Nuance candidat 1,ENS
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0014,78423_0014,Montigny-le-Bretonneux - 0014,1223,952,"77,84%",271,"22,16%",939,"76,78%","98,63%",11,"0,90%","1,16%",2,"0,16%","0,21%",Nuance candidat 1,ENS
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0015,78423_0015,Montigny-le-Bretonneux - 0015,1381,1064,"77,05%",317,"22,95%",1047,"75,81%","98,40%",11,"0,80%","1,03%",6,"0,43%","0,56%",Nuance candidat 1,ENS
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0016,78423_0016,Montigny-le-Bretonneux - 0016,1302,986,"75,73%",316,"24,27%",964,"74,04%","97,77%",19,"1,46%","1,93%",3,"0,23%","0,30%",Nuance candidat 1,ENS
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0017,78423_0017,Montigny-le-Bretonneux - 0017,1091,850,"77,91%",241,"22,09%",826,"75,71%","97,18%",20,"1,83%","2,35%",4,"0,37%","0,47%",Nuance candidat 1,ENS
78,Yvelines,7800001,78423,Montigny-le-Bretonneux,0018,78423_0018,Montigny-le-Bretonneux - 0018,1309,972,"74,26%",337,"25,74%",959,"73,26%","98,66%",11,"0,84%","1,13%",2,"0,15%","0,21%",Nuance candidat 1,ENS
78,Yvelines,7800001,78646,Versailles,0013,78646_0013,Versailles - 0013,1242,956,"76,97%",286,"23,03%",938,"75,52%","98,12%",15,"1,21%","1,57%",3,"0,24%","0,31%",Nuance candidat 1,ENS
78,Yvelines,7800001,78646,Versailles,0014,78646_0014,Versailles - 0014,1122,843,"75,13%",279,"24,87%",838,"74,69%","99,41%",3,"0,27%","0,36%",2,"0,18%","0,24%",Nuance candidat 1,ENS
78,Yvelines,7800001,78646,Versailles,0015,78646_0015,Versailles - 0015,1320,989,"74,92%",331,"25,08%",977,"74,02%","98,79%",11,"0,83%","1,11%",1,"0,08%","0,10%",Nuance candidat 1,ENS
78,Yvelines,7800001,78646,Versailles,0016,78646_0016,Versailles - 0016,1441,1065,"73,91%",376,"26,09%",1059,"73,49%","99,44%",4,"0,28%","0,38%",2,"0,14%","0,19%",Nuance candidat 1,ENS
78,Yvelines,7800001,78646,Versailles,0017,78646_0017,Versailles - 0017,1784,1351,"75,73%",433,"24,27%",1334,"74,78%","98,74%",16,"0,90%","1,18%",1,"0,06%","0,07%",Nuance candidat 1,ENS
78,Yvelines,7800001,78646,Versailles,0018,78646_0018,Versailles - 0018,1404,1031,"73,43%",373,"26,57%",1017,"72,44%","98,64%",12,"0,85%","1,16%",2,"0,14%","0,19%",Nuance candidat 1,ENS
78,Yvelines,7800001,78646,Versailles,0019,78646_0019,Versailles - 0019,1458,1135,"77,85%",323,"22,15%",1125,"77,16%","99,12%",7,"0,48%","0,62%",3,"0,21%","0,26%",Nuance candidat 1,ENS
78,Yvelines,7800001,78646,Versailles,0020,78646_0020,Versailles - 0020,1632,1257,"77,02%",375,"22,98%",1245,"76,29%","99,05%",8,"0,49%","0,64%",4,"0,25%","0,32%",Nuance candidat 1,ENS
78,Yvelines,7800001,78646,Versailles,0021,78646_0021,Versailles - 0021,1610,1244,"77,27%",366,"22,73%",1232,"76,52%","99,04%",8,"0,50%","0,64%",4,"0,25%","0,32%",Nuance candidat 1,ENS
78,Yvelines,7800001,78646,Versailles,0022,78646_0022,Versailles - 0022,1548,1117,"72,16%",431,"27,84%",1108,"71,58%","99,19%",6,"0,39%","0,54%",3,"0,19%","0,27%",Nuance candidat 1,ENS
78,Yvelines,7800001,78646,Versailles,0023,78646_0023,Versailles - 0023,1429,1170,"81,88%",259,"18,12%",1156,"80,90%","98,80%",12,"0,84%","1,03%",2,"0,14%","0,17%",Nuance candidat 1,ENS
78,Yvelines,7800001,78646,Versailles,0024,78646_0024,Versailles - 0024,1471,1156,"78,59%",315,"21,41%",1150,"78,18%","99,48%",4,"0,27%","0,35%",2,"0,14%","0,17%",Nuance candidat 1,ENS
78,Yvelines,7800001,78646,Versailles,0025,78646_0025,Versailles - 0025,1627,1271,"78,12%",356,"21,88%",1260,"77,44%","99,13%",8,"0,49%","0,63%",3,"0,18%","0,24%",Nuance candidat 1,ENS
78,Yvelines,7800001,78646,Versailles,0026,78646_0026,Versailles - 0026,1386,1135,"81,89%",251,"18,11%",1126,"81,24%","99,21%",9,"0,65%","0,79%",0,"0,00%","0,00%",Nuance candidat 1,ENS
78,Yvelines,7800001,78646,Versailles,0027,78646_0027,Versailles - 0027,1511,1172,"77,56%",339,"22,44%",1161,"76,84%","99,06%",8,"0,53%","0,68%",3,"0,20%","0,26%",Nuance candidat 1,ENS
78,Yvelines,7800001,78646,Versailles,0028,78646_0028,Versailles - 0028,1598,1227,"76,78%",371,"23,22%",1218,"76,22%","99,27%",8,"0,50%","0,65%",1,"0,06%","0,08%",Nuance candidat 1,ENS
78,Yvelines,7800001,78646,Versailles,0029,78646_0029,Versailles - 0029,1402,921,"65,69%",481,"34,31%",890,"63,48%","96,63%",24,"1,71%","2,61%",7,"0,50%","0,76%",Nuance candidat 1,ENS
78,Yvelines,7800001,78646,Versailles,0030,78646_0030,Versailles - 0030,1439,1162,"80,75%",277,"19,25%",1152,"80,06%","99,14%",5,"0,35%","0,43%",5,"0,35%","0,43%",Nuance candidat 1,ENS
78,Yvelines,7800001,78646,Versailles,0031,78646_0031,Versailles - 0031,1580,849,"53,73%",731,"46,27%",827,"52,34%","97,41%",13,"0,82%","1,53%",9,"0,57%","1,06%",Nuance candidat 1,ENS
78,Yvelines,7800001,78646,Versailles,0032,78646_0032,Versailles - 0032,1544,1144,"74,09%",400,"25,91%",1132,"73,32%","98,95%",9,"0,58%","0,79%",3,"0,19%","0,26%",Nuance candidat 1,ENS
78,Yvelines,7800001,78646,Versailles,0033,78646_0033,Versailles - 0033,1245,783,"62,89%",462,"37,11%",770,"61,85%","98,34%",8,"0,64%","1,02%",5,"0,40%","0,64%",Nuance candidat 1,ENS
78,Yvelines,7800001,78646,Versailles,0034,78646_0034,Versailles - 0034,1495,1122,"75,05%",373,"24,95%",1110,"74,25%","98,93%",8,"0,54%","0,71%",4,"0,27%","0,36%",Nuance candidat 1,ENS
78,Yvelines,7800001,78646,Versailles,0035,78646_0035,Versailles - 0035,1634,1239,"75,83%",395,"24,17%",1221,"74,72%","98,55%",13,"0,80%","1,05%",5,"0,31%","0,40%",Nuance candidat 1,ENS
