id_dep,libDep,id_circo,libCirco,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",% Voix/inscrits 16,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",% Voix/inscrits 16,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",% Voix/inscrits 16,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",% Voix/exprimés 16,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",% Voix/exprimés 16,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",% Voix/exprimés 16,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",% Voix/exprimés 16,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",Elu 16,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",Elu 16,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",Elu 16,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",Elu 16,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",Numéro de panneau 17,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",Numéro de panneau 17,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",Numéro de panneau 17,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",Numéro de panneau 17,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",Nuance candidat 17,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",Nuance candidat 17,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",Nuance candidat 17,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",Nuance candidat 17,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",Nom candidat 17,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",Nom candidat 17,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",Nom candidat 17,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",Nom candidat 17,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",Prénom candidat 17,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",Prénom candidat 17,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",Prénom candidat 17,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",Prénom candidat 17,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",Sexe candidat 17,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",Sexe candidat 17,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",Sexe candidat 17,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",Sexe candidat 17,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",Voix 17,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",Voix 17,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",Voix 17,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",Voix 17,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",% Voix/inscrits 17,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",% Voix/inscrits 17,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",% Voix/inscrits 17,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",% Voix/inscrits 17,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",% Voix/exprimés 17,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",% Voix/exprimés 17,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",% Voix/exprimés 17,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",% Voix/exprimés 17,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",Elu 17,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",Elu 17,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",Elu 17,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",Elu 17,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",Numéro de panneau 18,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",Numéro de panneau 18,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",Numéro de panneau 18,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",Numéro de panneau 18,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",Nuance candidat 18,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",Nuance candidat 18,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",Nuance candidat 18,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",Nuance candidat 18,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",Nom candidat 18,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",Nom candidat 18,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",Nom candidat 18,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",Nom candidat 18,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",Prénom candidat 18,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",Prénom candidat 18,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",Prénom candidat 18,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",Prénom candidat 18,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",Sexe candidat 18,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",Sexe candidat 18,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",Sexe candidat 18,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",Sexe candidat 18,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",Voix 18,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",Voix 18,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",Voix 18,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",Voix 18,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",% Voix/inscrits 18,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",% Voix/inscrits 18,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",% Voix/inscrits 18,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",% Voix/inscrits 18,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",% Voix/exprimés 18,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",% Voix/exprimés 18,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",% Voix/exprimés 18,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",% Voix/exprimés 18,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",Elu 18,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",Elu 18,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",Elu 18,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",Elu 18,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",Numéro de panneau 19,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",Numéro de panneau 19,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",Numéro de panneau 19,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",Numéro de panneau 19,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",Nuance candidat 19,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",Nuance candidat 19,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",Nuance candidat 19,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",Nuance candidat 19,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",Nom candidat 19,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",Nom candidat 19,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",Nom candidat 19,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",Nom candidat 19,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",Prénom candidat 19,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",Prénom candidat 19,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",Prénom candidat 19,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",Prénom candidat 19,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",Sexe candidat 19,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",Sexe candidat 19,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",Sexe candidat 19,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",Sexe candidat 19,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",Voix 19,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",Voix 19,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",Voix 19,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",Voix 19,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",% Voix/inscrits 19,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",% Voix/inscrits 19,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",% Voix/inscrits 19,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",% Voix/inscrits 19,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",% Voix/exprimés 19,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",% Voix/exprimés 19,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",% Voix/exprimés 19,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",% Voix/exprimés 19,
28,Eure-et-Loir,28001,1ère circonscription,91565,62516,"68,27%",29049,"31,73%",61131,"66,76%","97,78%",1035,"1,13%","1,66%",350,"0,38%","0,56%",Elu 19,
28,Eure-et-Loir,28002,2ème circonscription,75563,47703,"63,13%",27860,"36,87%",46723,"61,83%","97,95%",723,"0,96%","1,52%",257,"0,34%","0,54%",Elu 19,
28,Eure-et-Loir,28003,3ème circonscription,71148,46719,"65,66%",24429,"34,34%",45223,"63,56%","96,80%",1120,"1,57%","2,40%",376,"0,53%","0,80%",Elu 19,
28,Eure-et-Loir,28004,4ème circonscription,67351,44796,"66,51%",22555,"33,49%",43698,"64,88%","97,55%",823,"1,22%","1,84%",275,"0,41%","0,61%",Elu 19,
